,product,company,price
0,GOOJODOQ For iPad Air 2 1 Case 9.7 Funda Silicone Soft Back Pu Leather Case for iPad,GOOJODOQ Official Store,US $8.17 - 9.01
1,zimoon Case for Apple iPad 2 3 4 Magnetic Auto Wake Up Sleep Flip for iPad 2/3/4,zimoon store,US $7.54
2,"bigmzpai Smart Case For Huawei MediaPad T3 10 9.6""AGS-L09 W09 Tablet Flip pu Leather",bigmzpai iHOPE DIGITAL Store,US $6.28 - 6.34
3,Ultra Slim Smart Flip Stand PU Leather Cover Case For Apple iPad Mini 1 2 3 Retina,Enjoying+o Store,US $3.91 - 5.08
4,OLPAY 1Pcs For iPad Mini 1 Mini 2 A1432 A1454 A1455 Touch Screen Digitizer,CoBala Store,US $9.97
5,GOOJODOQ Case for iPad 2 3 4 Silicone Soft Back Folio Stand for iPad 2 Case,GOOJODOQ Official Store,US $8.39 - 9.32
6,BENCUS Magnetic Smart Cover Case For Amazon 2018 Released funda For Kindle Paperwhite,BENCUS 3C Store,US $5.42 - 7.56
7,SHENGMEIYU For capa amazon kindle paperwhite 1/2/3 cover Ultra Slim Case for Tablet,Changliang Store ,US $3.35 - 3.79
8,"MyDuoDuo Litchi Pattern Tablet For Samsung Galaxy Tab E 9.6"" T560 SM-T561 Protective",PadHome Store,US $6.09 - 6.21
9,iBuyiWin Case for Xiaomi Mi Pad 4 Slim Retro Folding Stand PU Leather Smart Cover,Baisen Digital Store,US $7.37 - 8.25
10,MiOYOOW For Amazon Kindle Paperwhite 1 2 3 Silm Foldable Cover 6'' Smart Case for,MiOYOOW Store,US $3.51 - 3.78
11,GOLP Case for iPad Air Flip Stand 5 6 2018 PU leather Full for ipad air 2 smart cover,GOLP Direct Store,US $7.69
12,ESR Case for iPad Mini 5 2019 Yippee Trifold Smart Auto Sleep/Wake Case for iPad Mini,ESR Official Store,US $9.89
13,CARPRIE Magnetic Auto Sleep Slim Cover Case Hard Shell For KOBO GLO HD 6.0inch,High Tech Paradise Store,US $6.18
