,title,company,salary
0,"
                                                        Nhân Viên Kinh Doanh BĐS Lương +Hoa Hồng.thu Nhập 60 Triệu / Tháng
                        ",Công Ty CP Tập đoàn Địa ốc Cát Tường,15 – 20 triệu
1,"
                                                        Nhân Viên Kinh Doanh Xây Dựng
                        ",Công ty cổ phần đầu tư sản xuất và phát triển công...,7 – 10 triệu
2,"
                                                        Nhân Viên Hành Chính Văn Phòng Tại HCM
                        ",CÔNG TY CỔ PHẦN ĐỊA ỐC THÀNH ĐÔ,7 – 10 triệu
3,"
                                                        Nhân Viên Kinh Doanh
                        ",Công ty CP Thiết Kế và Thi Công Nội Thất QP Việt Nam,10 – 15 triệu
4,,Công Ty TNHH Crown Royal Corp,10 – 15 triệu
5,"
                                                        Nam Nhân viên bán hàng (192 Tây Sơn – Quận Đống Đa - HN)
                        ",Công Ty TNHH Thái Dương Hưng,10 – 15 triệu
6,"
                                                        Nhân Viên Sales - Tư vấn viên
                        ",Jai Yoga,10 – 15 triệu
7,"
                                                        Nhân Viên Sale - Maketting Thu Nhập 10-15Tr
                        ",Công ty TNHH nguồn nhân lực JPNET toàn cầu,10 – 15 triệu
8,"
                                                        Chuyên Viên Kinh Doanh Lương Trên 10 Triệu (Hcm)
                        ",Công ty TNHH Viễn thông tin học Vạn Tín,10 – 15 triệu
9,"
                                                        Chuyên Viên Đào Tạo Văn Hóa Công Ty 30Shine - Tp. HCM
                        ",Công ty Cổ Phần Thương Mại Dịch Vụ 30Shine,10 – 15 triệu
10,"
                                                        Trình Dược Viên Kênh OTC Toàn Quốc
                        ",Công Ty TNHH Thương Mại Hùng Phương,10 – 15 triệu
11,"
                                                        Nhân Viên Marketing
                        ",Công ty TNHH Hotu Việt Nam,7 – 10 triệu
12,"
                                                        Nhân Viên Kinh Doanh - Telesale Nội Thất, Vật Liệu Xây Dựng Tại Hà Nội
                        ",Công ty TNHH Chu Tuấn Tùng,10 – 15 triệu
13,"
                                                        Chuyên Viên Digital Maketting Thu Nhập Trên 10Tr
                        ",Công ty TNHH Bibabo,10 – 15 triệu
14,"
                                                        Nhân Viên Kinh Doanh Thị Trường Lương 15Tr
                        ",Công ty TNHH Bibabo,10 – 15 triệu
15,"
                                                        Nhân Viên Marketing.
                        ",Công ty liên doanh Bohemia Sài Gòn,7 – 10 triệu
16,"
                                                        Nhân Viên Kinh Doanh Thiết Bị - Vật Tư Công Nghiệp.
                        ",Công ty TNHH Thiết Bị Công Nghiệp Công Nghệ Cao,5 - 7 triệu
17,"
                                                        Nhân Viên Cơ Khí (Hcm)
                        ",Công ty TNHH TM DV kỹ thuật  Phan ta,7 – 10 triệu
18,"
                                                        Nhân Viên Kinh Doanh
                        ",Công ty TNHH TM DV kỹ thuật  Phan ta,10 – 15 triệu
19,"
                                                        Nhân Viên Kinh Doanh
                        ",CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ BẤT ĐỘNG SẢN HGLAND,7 – 10 triệu
